Nome,N,M,K,GBBS,Tempo GBBS,Kissat,Tempo,Kissat-Mab,Tempo,hKis,Tempo, Conj 2, Conj 5, Conj 7
anna,138,986,11,True,0.00012,True,0.001054,True,0.020688,True,0.012899, 0, 1, 1
david,87,812,11,True,0.00009,True,0.000079,True,0.018001,True,0.01101, 0, 1, 1
DSJC1000.1,1000,99258,32,True,0.001074,True,0.071761,True,0.243802,True,101.113968, 0, 1, 0
DSJC1000.5,1000,499652,127,True,0.004268,True,1.288412,True,2.457681,True,203.948432, 1, 4, 4
DSJC1000.9,1000,898898,321,True,0.007395,True,7.774051,True,11.98356,True,226.622528, 1, 0, 2
DSJC125.1,125,1472,8,True,0.000126,True,0,True,0.000726,True,0.022621, 0, 1, 1
DSJC125.5,125,7782,25,True,0.000213,True,0.005081,True,0.062078,True,0.975957, 0, 1, 1
DSJC125.9,125,13922,57,True,0.000226,True,0.018501,True,0.0852,True,4.903344, 0, 1, 1
DSJC250.1,250,6436,13,True,0.000196,True,0.002615,True,0.004832,True,0.346848, 0, 1, 1
DSJC250.5,250,31336,42,True,0.000445,True,0.032568,True,0.109197,True,19.962856, 0, 1, 1
DSJC250.9,250,55794,98,True,0.000644,True,0.117643,True,0.276448,True,81.291859, 0, 1, 0
DSJC500.1,500,24916,20,True,0.00042,True,0.012661,True,0.025712,True,5.635022, 0, 1, 0
DSJC500.5,500,125248,72,True,0.001512,True,0.214001,True,0.387737,True,200.6718, 0, 4, 4
DSJC500.9,500,224874,178,True,0.00216,True,0.837142,True,1.479458,True,201.901552, 1, 4, 4
DSJR500.1,500,7110,14,True,0.000231,True,0.004056,True,0.027645,True,0.132624, 0, 1, 0
DSJR500.1c,500,242550,104,True,0.001815,True,18.4862,True,1.032545,True,202.791865, 1, 4, 5
DSJR500.5,500,117724,142,True,0.00125,True,10.739535,True,0.749401,True,169.048357, 1, 4, 5
flat1000_50_0,1000,490000,123,True,0.004092,True,31.588374,True,2.356622,True,201.799013, 1, 0, 5
flat1000_60_0,1000,491660,125,True,0.004088,True,1.219514,True,2.177819,True,204.929072, 1, 4, 4
flat1000_76_0,1000,493416,126,True,0.004132,True,1.400722,True,2.509652,True,203.096508, 1, 4, 4
flat300_20_0,300,42750,48,True,0.000562,True,0.041696,True,0.143051,True,35.5389, 0, 1, 0
flat300_26_0,300,43266,45,True,0.000568,True,0.03892,True,0.142626,True,36.386505, 0, 1, 0
flat300_28_0,300,43390,47,True,0.000588,True,0.046173,True,0.133056,True,34.672203, 0, 1, 0
fpsol2.i.1,496,23308,65,True,0.000309,True,0.037104,True,0.158184,True,6.075212, 0, 1, 0
fpsol2.i.2,451,17382,30,True,0.000257,True,0.019085,True,0.092838,True,0.747813, 0, 1, 0
fpsol2.i.3,425,17376,30,True,0.000348,True,0.011653,True,0.343149,True,0.753035, 0, 1, 0
games120,120,1276,9,True,0.000102,True,0,True,0.017855,True,0.02033, 0, 1, 1
homer,561,3257,14,True,0.000243,True,0.066258,True,0.023086,False,0.07002, 0, 3, 6
huck,74,602,12,True,8.2,True,0.000088,True,0.006561,True,0.008292, 0, 2, 3
inithx.i.1,864,37414,54,True,0.000427,True,0.055884,True,0.379212,True,13.096323, 0, 1, 0
inithx.i.2,645,27958,31,True,0.000429,True,0.024718,True,0.078898,True,2.620206, 0, 1, 0
inithx.i.3,621,27938,31,True,0.000308,True,0.018194,True,0.080888,True,1.995264, 0, 1, 0
jean,80,508,10,True,0.00008,True,0.000981,True,0.006189,True,0.010221, 0, 1, 1
le450_15a,450,16336,19,True,0.0005,True,0.322779,True,0.051585,True,1.422545, 0, 1, 0
le450_15b,450,16338,18,True,0.00035,True,0.187777,True,0.048457,True,1.346252, 0, 1, 0
le450_15c,450,33360,28,True,0.000533,True,0.679623,True,0.07406,True,9.919537, 0, 1, 0
le450_15d,450,33500,28,True,0.000652,True,0.511167,True,0.083388,True,10.217936, 0, 1, 0
le450_25a,450,16520,25,True,0.000349,True,6.150972,True,0.066713,True,2.618792, 0, 1, 0
le450_25b,450,16526,26,True,0.000598,True,0.010774,True,0.070599,True,2.013038, 0, 1, 0
le450_25c,450,34686,33,True,0.000548,True,0.849695,True,0.090038,True,10.434727, 0, 1, 0
le450_25d,450,34850,33,True,0.000565,True,0.650397,True,0.101789,True,11.565262, 0, 1, 0
le450_5a,450,11428,13,True,0.000272,True,0.004222,True,0.00574,True,0.513921, 0, 1, 0
le450_5b,450,11468,13,True,0.000497,True,0.007494,True,0.00458,True,0.495344, 0, 1, 0
le450_5c,450,19606,16,True,0.000373,True,0.004768,True,0.012132,True,1.801749, 0, 1, 0
le450_5d,450,19514,17,True,0.000349,True,0.00698,True,0.012002,True,1.80771, 0, 1, 0
miles1000,128,6432,45,True,0.00018,True,0.011059,True,0.065794,True,0.783254, 0, 1, 1
miles1500,128,10396,75,True,0.000185,True,1.109661,True,0.107427,True,2.963743, 0, 1, 1
miles250,128,774,9,True,0.000107,True,0.000066,True,0.001682,True,0.01074, 0, 1, 1
miles500,128,2340,21,True,0.000241,True,0.000948,True,0.023563,True,0.114825, 0, 1, 1
miles750,128,4226,34,True,0.000157,True,0.003995,True,0.041743,True,0.290577, 0, 1, 1
mulsol.i.1,197,7850,49,True,0.000169,True,0.014052,True,0.061836,True,0.759644, 0, 1, 1
mulsol.i.2,188,7770,31,True,0.000251,True,0.005931,True,0.045151,True,0.293594, 0, 1, 1
mulsol.i.3,184,7832,31,True,0.000167,True,0.008604,True,0.051556,True,0.355796, 0, 1, 1
mulsol.i.4,185,7892,31,True,0.000172,True,0.006713,True,0.066226,True,0.319112, 0, 1, 1
mulsol.i.5,186,7946,31,True,0.00025,True,0.008697,True,0.050191,True,0.325535, 0, 1, 1
myciel3,11,40,5,True,3.8,True,0,True,0,True,0.000734, 0, 2, 3
myciel4,23,142,5,True,4.8,True,0,True,0,True,0.001211, 0, 2, 3
myciel5,47,472,6,True,6.4,True,0.000074,True,0.000292,True,0.004174, 0, 2, 3
myciel6,95,1510,7,True,9.3,True,0.000964,True,0.000035,True,0.013029, 0, 2, 3
myciel7,191,4720,8,True,0.000152,True,0.001528,True,0.001064,True,0.057394, 0, 1, 1
queen10_10,100,2940,15,True,0.000131,True,0.051399,True,0.024603,True,0.129358, 0, 1, 1
queen11_11,121,3960,17,True,0.000144,True,0.002707,True,0.024856,True,0.217054, 0, 1, 1
queen12_12,144,5192,18,True,0.000169,True,0.081996,True,0.031215,True,0.339344, 0, 1, 1
queen13_13,169,6656,19,True,0.000196,True,0.121757,True,0.033746,True,0.519343, 0, 1, 1
queen14_14,196,8372,21,True,0.000213,True,0.150395,True,0.033975,True,0.753267, 0, 1, 1
queen15_15,225,10360,22,True,0.00051,True,0.213238,True,0.044148,True,1.084503, 0, 1, 1
queen16_16,256,12640,23,True,0.000369,True,0.25951,True,0.044016,True,1.539119, 0, 1, 1
queen5_5,25,320,8,True,4.9,True,0.000071,True,0,True,0.004583, 0, 2, 3
queen6_6,36,580,9,True,7.5,True,0.00007,True,0.00077,True,0.012254, 0, 2, 3
queen7_7,49,952,10,True,7.6,True,0.000069,True,0.001553,True,0.019509, 0, 2, 3
queen8_12,96,2736,15,True,0.000134,True,0.000516,True,0.026437,True,0.114855, 0, 1, 1
queen8_8,64,1456,13,True,9.6,True,0.000528,True,0.005896,True,0.046449, 0, 2, 3
queen9_9,81,2112,13,True,0.000215,True,0.037779,True,0.005064,True,0.068859, 0, 1, 1
school1,385,38190,38,True,0.00055,True,0.0325,True,0.106053,True,14.995688, 0, 1, 0
school1_nsh,352,29224,37,True,0.000462,True,0.023014,True,0.100057,True,8.659422, 0, 1, 0
zeroin.i.1,211,8200,49,True,0.000163,True,0.010305,True,0.102815,True,1.077597, 0, 1, 1
zeroin.i.2,211,7082,30,True,0.000156,True,0.004027,True,0.05896,True,0.368145, 0, 1, 1
zeroin.i.3,206,7080,30,True,0.000162,True,0.004168,True,0.147212,True,0.293018, 0, 1, 1
