Nome,N,M,K,Cores GBBS,Tempo GBBS,Kissat,Tempo,Kissat-Mab,Tempo,hKis,Tempo
anna,138,986,11,10,0.000111,True,0.001649,True,0.023783,False,.013849
david,87,812,11,10,9.9,True,0.001079,True,0.018145,False,.010842
DSJC1000.1,1000,99258,20,31,0.001062,False,23.872034,False,23.860558,False,57.633821
DSJC1000.5,1000,499652,82,126,0.004174,False,23.891880,False,23.587083,False,200.654160
DSJC1000.9,1000,898898,222,320,0.007784,False,23.666898,False,23.189962,False,209.745108
DSJC125.1,125,1472,5,7,0.000135,True,0.046906,True,0.010440,False,.014620
DSJC125.5,125,7782,17,24,0.00019,False,23.901649,False,23.810671,False,.742436
DSJC125.9,125,13922,44,56,0.000214,False,23.910189,False,23.629173,False,3.596470
DSJC250.1,250,6436,8,12,0.000198,False,23.919070,False,23.835400,False,.194718
DSJC250.5,250,31336,28,41,0.000472,False,23.964975,False,23.749403,False,11.453742
DSJC250.9,250,55794,72,97,0.0006,False,23.919026,False,23.635285,False,52.832816
DSJC500.1,500,24916,12,19,0.000433,False,23.931857,False,23.787768,False,2.846599
DSJC500.5,500,125248,47,71,0.001345,False,23.858762,False,23.784534,False,178.683437
DSJC500.9,500,224874,126,177,0.00204,False,23.861538,False,23.287822,False,200.694688
DSJR500.1,500,7110,85,13,0.000214,True,0.021659,True,0.101796,False,1.736865
DSJR500.1c,500,242550,85,103,0.002117,False,23.805827,False,23.690966,False,200.993467
DSJR500.5,500,117724,122,141,0.001377,False,23.802989,False,23.413193,False,134.925492
flat1000_50_0,1000,490000,50,122,0.004159,False,23.940683,False,23.614463,False,199.954088
flat1000_60_0,1000,491660,60,124,0.004084,False,23.899632,False,24.083224,False,200.730477
flat1000_76_0,1000,493416,76,125,0.004076,False,23.915406,False,23.613033,False,200.398545
flat300_20_0,300,42750,20,47,0.000582,False,23.937098,False,23.877666,False,13.737651
flat300_26_0,300,43266,26,44,0.000563,False,23.938393,False,23.777224,False,19.186564
flat300_28_0,300,43390,28,46,0.000595,False,23.955166,False,23.730802,False,21.111678
fpsol2.i.1,496,23308,65,64,0.000334,True,0.032190,True,0.167848,False,4.204387
fpsol2.i.2,451,17382,30,29,0.000262,True,0.015367,True,0.096538,False,.749865
fpsol2.i.3,425,17376,30,29,0.00025,True,0.013893,True,0.361422,False,.853596
games120,120,1276,9,8,0.000114,True,0.001180,True,0.019822,False,.017533
homer,561,3257,13,13,0.000345,False,0.066700,False,0.021434,False,.077342
huck,74,602,11,11,8.8,True,0.000809,True,0.006420,False,.007922
inithx.i.1,864,37414,54,53,0.000427,True,0.042843,True,0.384067,False,5.133101
inithx.i.2,645,27958,31,30,0.000335,True,0.020354,True,0.092590,False,1.637959
inithx.i.3,621,27938,31,30,0.000319,True,0.027779,True,0.076698,False,1.382879
jean,80,508,10,9,8.3,True,0.000752,True,0.006589,False,.009530
le450_15a,450,16336,15,18,0.000337,True,2.162067,True,0.495647,False,1.062102
le450_15b,450,16338,15,17,0.000348,True,1.397992,True,0.234444,False,.990398
le450_15c,450,33360,15,27,0.00054,False,23.926123,False,23.865591,False,4.795446
le450_15d,450,33500,15,27,0.000513,False,23.927949,False,23.861213,False,4.927678
le450_25a,450,16520,25,24,0.000354,True,6.142126,True,0.062299,False,2.090848
le450_25b,450,16526,25,25,0.000358,True,6.032581,True,0.054489,False,2.073701
le450_25c,450,34686,25,32,0.000647,False,23.894886,False,23.781753,False,7.564876
le450_25d,450,34850,25,32,0.000535,False,23.900518,False,23.789118,False,7.513763
le450_5a,450,11428,5,12,0.000269,True,0.136341,True,0.009189,False,.165115
le450_5b,450,11468,5,12,0.000272,True,0.056687,True,0.014492,False,.174760
le450_5c,450,19606,5,15,0.000419,True,0.054684,True,0.006876,False,.426097
le450_5d,450,19514,5,16,0.000354,True,0.058063,True,0.003374,False,.402299
miles1000,128,6432,42,44,0.000179,True,0.704143,True,0.066919,False,.611926
miles1500,128,10396,73,74,0.000211,True,4.354429,True,0.103697,False,2.659811
miles250,128,774,8,8,8.5,True,0.025725,True,0.000894,False,.006453
miles500,128,2340,20,20,0.000135,True,0.071690,True,0.028949,False,.070379
miles750,128,4226,31,33,0.000226,True,0.212166,True,0.043865,False,.244464
mulsol.i.1,197,7850,49,48,0.000173,True,0.010178,True,0.062460,False,.865797
mulsol.i.2,188,7770,31,30,0.000264,True,0.005887,True,0.044982,False,.369221
mulsol.i.3,184,7832,31,30,0.000174,True,0.006370,True,0.050169,False,.326366
mulsol.i.4,185,7892,31,30,0.000185,True,0.008306,True,0.051808,False,.295142
mulsol.i.5,186,7946,31,30,0.000154,True,0.006926,True,0.049205,False,.351900
myciel2,,,,,,,0.000000,,0.000000,,.000056
myciel3,11,40,4,4,3.1,True,0.000099,True,0.000000,False,.000291
myciel4,23,142,5,4,3.6,True,0.000050,True,0.000167,False,.001237
myciel5,47,472,6,5,0.00013,True,0.000000,True,0.000000,False,.003104
myciel6,95,1510,7,6,0.000103,True,0.000325,True,0.000838,False,.014306
myciel7,191,4720,8,7,0.000175,True,0.002151,True,0.002187,False,.056218
queen10_10,100,2940,11,14,0.000162,False,23.916285,False,23.778273,False,.093134
