Nome,N,M,K,GBBS,Tempo GBBS,Kissat,Tempo,Kissat-Mab,Tempo,hKis,Tempo
anna,138,986,10,True,0.000115,,0.260074 0.121925,,2.706418,,
david,87,812,10,True,8.5,,0.292451,,8.406883,,
DSJC1000.1,1000,99258,31,True,0.001031,True,0.072607,True,0.227572,,
DSJC1000.5,1000,499652,126,True,0.004237,True,1.775026,True,2.717486,,
DSJC1000.9,1000,898898,320,True,0.007712,,29.711244,True,13.418336,,
DSJC125.1,125,1472,7,True,0.00011,True,0.000000,True,0.000000,,
DSJC125.5,125,7782,24,True,0.000188,True,0.090244,True,0.056275,,
DSJC125.9,125,13922,56,True,0.000221,True,0.017474,True,0.099017,,
DSJC250.1,250,6436,12,True,0.000193,True,0.003294,True,0.002160,,
DSJC250.5,250,31336,41,True,0.000527,True,0.032582,True,0.122565,,
DSJC250.9,250,55794,97,True,0.000596,True,0.113842,True,0.272069,,
DSJC500.1,500,24916,19,True,0.000478,True,0.012465,True,0.014929,,
DSJC500.5,500,125248,71,True,0.001383,True,0.209240,True,0.357681,,
DSJC500.9,500,224874,177,True,0.002151,True,0.863400,True,1.734768,,
DSJR500.1,500,7110,13,True,0.000214,True,0.091274,True,0.028160,,
DSJR500.1c,500,242550,103,True,0.0019,True,21.842737,True,1.019775,,
DSJR500.5,500,117724,141,True,0.001287,True,10.492184,True,0.735636,,
flat1000_50_0,1000,490000,122,True,0.004498,,29.486307,True,2.491542,,
flat1000_60_0,1000,491660,124,True,0.00413,True,1.521191,True,2.511877,,
flat1000_76_0,1000,493416,125,True,0.004221,True,1.539100,True,2.598392,,
flat300_20_0,300,42750,47,True,0.000564,True,0.047631,True,0.140786,,
flat300_26_0,300,43266,44,True,0.000587,True,1.788513,True,0.144576,,
flat300_28_0,300,43390,46,True,0.000577,True,0.045128,True,0.156501,,
fpsol2.i.1,496,23308,64,True,0.00033,,29.970413,,29.775441,,
fpsol2.i.2,451,17382,29,True,0.000269,,29.677861,,29.793293,,
fpsol2.i.3,425,17376,29,True,0.00024,,29.733774,,29.815241,,
games120,120,1276,8,True,9.7,,0.079328,,0.096888,,
homer,561,3257,13,False,0.000246,False,0.064312,False,0.024394,,
huck,74,602,11,True,8.3,True,0.000082,True,0.006404,,
inithx.i.1,864,37414,53,True,0.000424,,29.774300,,29.836288,,
inithx.i.2,645,27958,30,True,0.000349,,29.667973,,29.812569,,
inithx.i.3,621,27938,30,True,0.000318,,29.624170,,29.837004,,
jean,80,508,9,True,7.5,,0.066185,,2.477593,,
le450_15a,450,16336,18,True,0.000307,True,0.307615,True,0.049230,,
le450_15b,450,16338,17,True,0.000325,True,0.191484,True,0.045606,,
le450_15c,450,33360,27,True,0.000532,True,0.707359,True,0.081638,,
le450_15d,450,33500,27,True,0.00052,True,0.685358,True,0.085230,,
le450_25a,450,16520,24,True,0.000332,,29.891417,,29.788274,,
le450_25b,450,16526,25,True,0.000347,True,5.948002,True,0.054605,,
le450_25c,450,34686,32,True,0.00054,True,0.910811,True,0.098921,,
le450_25d,450,34850,32,True,0.000572,True,0.930060,True,0.100356,,
le450_5a,450,11428,12,True,0.000354,True,0.005436,True,0.006309,,
le450_5b,450,11468,12,True,0.000269,True,0.004787,True,0.006033,,
le450_5c,450,19606,15,True,0.000446,True,0.125394,True,0.008190,,
le450_5d,450,19514,16,True,0.00037,True,0.154416,True,0.015292,,
miles1000,128,6432,44,True,0.000164,True,0.008490,True,0.060384,,
miles1500,128,10396,74,True,0.000198,True,0.923759,True,0.111414,,
miles250,128,774,8,True,0.000111,True,0.026958,True,0.001333,,
miles500,128,2340,20,True,0.000129,True,0.068897,True,0.028280,,
miles750,128,4226,33,True,0.000147,True,0.005369,True,0.039889,,
mulsol.i.1,197,7850,48,True,0.000162,,29.804486,,29.653901,,
mulsol.i.2,188,7770,30,True,0.000149,,29.704083,,29.765211,,
mulsol.i.3,184,7832,30,True,0.000155,,29.793763,,29.730497,,
mulsol.i.4,185,7892,30,True,0.000223,,29.701692,,29.760395,,
mulsol.i.5,186,7946,30,True,0.00025,,29.835324,,29.740582,,
myciel2,,,,,,,0.000080,,0.000000,,
myciel3,11,40,4,True,5.6,True,0.000084,True,0.000308,,
myciel4,23,142,4,True,5.3,,0.008873,,0.022393,,
myciel5,47,472,5,True,8.7,,15.517348,,10.539689,,
myciel6,95,1510,6,True,0.000104,,29.645322,,29.766361,,
myciel7,191,4720,7,True,0.00015,,29.761340,,29.760921,,
queen10_10,100,2940,14,True,0.000127,True,0.051529,True,0.028612,,
queen11_11,121,3960,16,True,0.000175,True,0.065106,True,0.028672,,
queen12_12,144,5192,17,True,0.000165,True,0.087107,True,0.022718,,
queen13_13,169,6656,18,True,0.000193,True,0.199160,True,0.034244,,
queen14_14,196,8372,20,True,0.000236,True,0.154646,True,0.037784,,
queen15_15,225,10360,21,True,0.000262,True,0.195916,True,0.045539,,
queen16_16,256,12640,22,True,0.000255,True,0.333308,True,0.042695,,
queen5_5,25,320,7,True,7.6,True,0.000000,True,0.000000,,
queen6_6,36,580,8,True,6.9,True,0.000081,True,0.000490,,
queen7_7,49,952,9,True,0.000123,True,0.026405,True,0.001023,,
queen8_12,96,2736,14,True,0.000149,True,0.000939,True,0.022893,,
queen8_8,64,1456,12,True,8.6,True,0.032591,True,0.004106,,
queen9_9,81,2112,12,True,0.000129,True,0.036062,True,0.016508,,
school1,385,38190,37,True,0.000659,True,1.082718,True,0.106755,,
school1_nsh,352,29224,36,True,0.000475,True,0.025818,True,0.102523,,
zeroin.i.1,211,8200,48,True,0.000163,,29.761860,,29.694487,,
zeroin.i.2,211,7082,29,True,0.000288,,29.696969,,29.791150,,
zeroin.i.3,206,7080,29,True,0.000161,,29.794184,,29.753937,,
